Mf,Scaled Distance,Overpressure
0.037,1.871029,0.001798671
0.037,1.927902,0.001736984
0.037,1.986504,0.001677412
0.037,2.046801,0.00163128
0.037,2.109017,0.001575334
0.037,2.173033,0.00153201
0.037,2.239085,0.001479467
0.037,2.307146,0.001428728
0.037,2.377176,0.001389435
0.037,2.449331,0.001351224
0.037,2.523888,0.001295765
0.037,2.600606,0.001251325
0.037,2.679543,0.001216912
0.037,2.760992,0.001175176
0.037,2.844917,0.001134873
0.037,2.931393,0.001095951
0.037,3.02037,0.00106581
0.037,3.112179,0.001029257
0.0742,0.009995075,0.04086775
0.0742,0.01029698,0.04087329
0.0742,0.01060762,0.04116629
0.0742,0.01092842,0.0408844
0.0742,0.01125811,0.04117749
0.0742,0.01159858,0.0408955
0.0742,0.01194892,0.04090106
0.0742,0.01230984,0.04090662
0.0742,0.01268166,0.04091218
0.0742,0.01306472,0.04091773
0.0742,0.01345934,0.04092329
0.0742,0.01386538,0.04121665
0.0742,0.0142847,0.04093442
0.0742,0.01471565,0.04122785
0.0742,0.01516014,0.04123345
0.0742,0.01561805,0.04123906
0.0742,0.0160898,0.04124466
0.0742,0.01657639,0.04096223
0.0742,0.01707647,0.04125586
0.0742,0.01759227,0.04126147
0.0742,0.01812365,0.04126708
0.0742,0.01867175,0.04098449
0.0742,0.01923504,0.04127828
0.0742,0.01981676,0.04099562
0.0742,0.02041459,0.0412895
0.0742,0.02103198,0.04100677
0.0742,0.02166648,0.04130072
0.0742,0.02232173,0.0410179
0.0742,0.02299513,0.04131195
0.0742,0.0236897,0.04131755
0.0742,0.02440526,0.04132317
0.0742,0.02514242,0.04132878
0.0742,0.02590185,0.0413344
0.0742,0.02668423,0.04134002
0.0742,0.02749122,0.04105692
0.0742,0.02832059,0.04135124
0.0742,0.02917601,0.04135687
0.0742,0.03005728,0.04136249
0.0742,0.03096517,0.0413681
0.0742,0.03190048,0.04137372
0.0742,0.03286405,0.04137934
0.0742,0.03385671,0.04138497
0.0742,0.03487936,0.04139058
0.0742,0.03593291,0.04139621
0.0742,0.03701827,0.04140183
0.0742,0.03813642,0.04140746
0.0742,0.03928833,0.04141308
0.0742,0.04047506,0.04141871
0.0742,0.04169761,0.04142433
0.0742,0.04295709,0.04142997
0.0742,0.04425463,0.04143558
0.0742,0.04559135,0.04144122
0.0742,0.04696846,0.04144685
0.0742,0.04838715,0.04145248
0.0742,0.04984869,0.04145811
0.0742,0.05135439,0.04146374
0.0742,0.05290556,0.04146938
0.0742,0.05450359,0.04147501
