Mf,Scaled Distance,Overpressure
0.5,0.3447137,0.8393411
0.5,0.3551643,0.8219929
0.5,0.3659317,0.8050032
0.5,0.3770256,0.7883648
0.5,0.3884557,0.7720702
0.5,0.4002469,0.7508327
0.5,0.4124108,0.7250809
0.5,0.424929,0.705136
0.5,0.4378431,0.6809515
0.5,0.4511333,0.6622205
0.5,0.4648437,0.6395079
0.5,0.4789535,0.6219168
0.5,0.4935094,0.6005865
0.5,0.5084893,0.5840662
0.5,0.5239239,0.5680001
0.5,0.539827,0.5523761
0.5,0.5562329,0.5334309
0.5,0.5731167,0.5187577
0.5,0.5905343,0.5009656
0.5,0.6084812,0.4837836
0.5,0.6269736,0.467191
0.5,0.646028,0.4511674
0.5,0.6656615,0.4356934
0.5,0.6858668,0.4237087
0.5,0.706711,0.4091765
0.5,0.7281624,0.3979213
0.5,0.7502649,0.3869756
0.5,0.7730384,0.376331
0.5,0.7965605,0.3608861
0.5,0.8207688,0.3485085
0.5,0.8457433,0.3342055
0.5,0.8714777,0.3204894
0.5,0.8979304,0.3116737
0.5,0.9251861,0.3031004
0.5,0.9532691,0.294763
0.5,0.9822044,0.2866549
0.5,1.012018,0.2787699
0.5,1.042774,0.2692087
0.5,1.074427,0.2618036
0.5,1.10704,0.2546021
0.5,1.140643,0.2475987
0.5,1.175265,0.240788
0.5,1.210939,0.2341646
0.5,1.247696,0.2277234
0.5,1.285568,0.2214594
0.5,1.32459,0.2153677
0.5,1.364846,0.2079811
0.5,1.406224,0.2036823
0.5,1.44896,0.1966965
0.5,1.492942,0.191286
0.5,1.538258,0.1860242
0.5,1.58495,0.1809072
0.5,1.63306,0.175931
0.5,1.682629,0.1710916
0.5,1.733704,0.1663854
0.5,1.786328,0.1618086
0.5,1.84055,0.1573577
0.5,1.896418,0.1530293
0.5,1.953982,0.1488199
0.5,2.013293,0.1447263
0.5,2.074404,0.1407453
0.5,2.13737,0.1368738
0.5,2.202247,0.1331088
0.5,2.269094,0.1294473
0.5,2.336958,0.125
0.5,2.408154,0.121
0.5,2.48143,0.118
0.5,2.557028,0.113
0.5,2.634929,0.111
0.5,2.715105,0.1087348
0.5,2.797518,0.1057438
0.5,2.882434,0.1028351
0.5,2.969927,0.1000064
0.5,3.060076,0.09725549
0.5,3.152961,0.09458029
0.5,3.248665,0.09197865
0.5,3.347275,0.08944858
0.5,3.448878,0.0869881
0.5,3.553564,0.08459532
0.5,3.661429,0.08226834
0.5,3.772703,0.07944673
0.5,3.887079,0.07780465
0.5,4.005211,0.07513615
0.5,4.126785,0.07306936
0.5,4.252049,0.07105943
0.5,4.381273,0.06862225
0.5,4.514262,0.06673466
0.5,4.651287,0.06489898
0.5,4.792472,0.06311379
0.5,4.937941,0.06137771
0.5,5.087827,0.0596894
0.5,5.242262,0.05804751
0.5,5.401385,0.05645078
0.5,5.565338,0.05489798
0.5,5.734268,0.0533879
0.5,5.908325,0.05191936
0.5,6.087884,0.05013864
0.5,6.272676,0.04875947
0.5,6.463076,0.04741823
0.5,6.659255,0.0461139
0.5,6.861637,0.0445323
0.5,7.069913,0.04330734
0.5,7.284513,0.04211609
0.5,7.505626,0.04095759
0.5,7.73345,0.03983096
0.5,7.96819,0.03873533
0.5,8.209761,0.03793471
0.5,8.459263,0.03663364
0.5,8.716033,0.03562596
0.5,8.9806,0.03464599
0.5,9.253195,0.03369297
0.5,9.534064,0.03276618
0.5,9.807181,0.0439842
1,0.04773961,2.413169
1,0.05141738,2.500063
1,0.05705944,2.51884
1,0.06054756,2.609361
1,0.07131187,2.629673
1,0.07511041,2.724086
1,0.08587307,2.725752
1,0.09457601,2.824189
1,0.1122136,2.886439
1,0.1341347,2.950161
1,0.1847021,2.954473
1,0.2080796,2.874375
1,0.2326869,2.776827
1,0.2763998,2.267968
1,0.3209855,1.958962
1,0.3727229,1.728003
1,0.4109265,1.46117
1,0.456396,1.25302
1,0.5108292,1.01598
1,0.5675576,0.8122897
1,0.6208473,0.7418687
1,0.6793855,0.6317014
1,0.7601948,0.5417312
1,0.8379627,0.4744123
1,0.93055,0.4183944
1,1.056766,0.363893
1,1.208933,0.3232256
1,1.618269,0.2428355
1,1.837699,0.2126881
1,2.102314,0.1889188
1,2.4594,0.1666512
1,2.835055,0.1429353
1,3.495028,0.1184098
1,4.24485,0.09877553
1,5.155537,0.08239695
1,6.168681,0.0696995
1,7.548324,0.05773818
1,8.570913,0.05164444
1,9.731332,0.04684576
2,0.04751636,6.000621
2,0.05938081,6.353072
2,0.0709784,6.538984
2,0.08359106,6.682889
2,0.1014039,7.025054
2,0.1221185,7.180386
2,0.1427424,7.441718
2,0.1668794,7.447027
2,0.186574,7.503214
2,0.2102111,7.147947
2,0.2317157,6.259697
2,0.2461381,5.292196
2,0.2594641,4.666193
2,0.2776517,4.000794
2,0.2928316,3.19793
2,0.3041925,2.703381
2,0.3136068,2.350192
2,0.3257737,1.986743
2,0.338315,1.776336
2,0.3620297,1.523031
2,0.3874765,1.260889
2,0.4054272,1.111703
2,0.4241942,0.9870604
2,0.4607167,0.8523147
2,0.5194222,0.7157435
2,0.5943865,0.6010966
2,0.6650617,0.5191102
2,0.749643,0.4546486
2,0.8138926,0.4210789
2,0.8576168,0.4010188
2,0.9524788,0.3463102
2,1.114261,0.305491
2,1.265167,0.2751706
2,1.394292,0.2513234
2,1.491328,0.2360355
2,1.693117,0.2171253
2,2.010681,0.1862518
2,2.813839,0.1449476
2,3.31684,0.124333
2,4.028433,0.1037166
2,4.678085,0.09021533
2,5.432505,0.07847159
2,6.308815,0.06777997
2,7.325954,0.05937131
2,8.256465,0.05347681
2,9.731332,0.04684576
4,0.04702833,10.51073
4,0.05066044,10.5143
4,0.05789459,11.44362
4,0.06866174,12.72184
4,0.08391519,13.37365
4,0.1002901,14.15628
4,0.114636,14.77316
4,0.1360195,14.99336
4,0.1499613,12.67813
4,0.1592952,10.7186
4,0.1679679,8.935512
4,0.1757938,7.501175
4,0.1812278,6.567025
4,0.1854316,5.830146
4,0.1868567,5.590303
4,0.1999259,4.929371
4,0.2171784,4.109908
4,0.2358686,3.57381
4,0.2542777,3.085837
4,0.2823528,2.759874
4,0.2909128,2.70283
4,0.3253511,2.556789
4,0.3640367,2.208056
4,0.4197163,1.828629
4,0.4629202,1.431552
4,0.5028313,1.210414
4,0.5340514,1.05242
4,0.567169,0.927963
4,0.6023619,0.8125104
4,0.6397617,0.7064543
4,0.700058,0.6057758
4,0.7658438,0.5455591
4,0.8378116,0.4913282
4,0.9030387,0.4393684
4,0.9516893,0.4068717
4,1.04882,0.3716109
4,1.155906,0.3370359
4,1.283438,0.3056882
4,1.490468,0.2640387
4,1.618328,0.2411399
4,1.783561,0.218704
4,2.055764,0.1915655
4,2.334011,0.1749876
4,2.591712,0.1565032
4,2.856328,0.1419421
4,3.267618,0.1260791
4,3.794576,0.1096668
4,4.308792,0.09740756
4,4.820083,0.08773375
4,5.473269,0.07792629
4,6.261603,0.0687342
4,7.00462,0.06190804
4,7.777444,0.05614997
4,8.635537,0.05092746
4,9.731685,0.04651866
5.2,0.04663434,12.69939
5.2,0.05060567,12.97402
5.2,0.05655761,14.02072
5.2,0.06181892,14.93948
5.2,0.06807424,15.91899
5.2,0.07440688,16.96215
5.2,0.08193003,18.32935
5.2,0.09157276,19.53245
5.2,0.103137,19.95823
5.2,0.1205682,20.25434
5.2,0.139911,20.2681
5.2,0.1552859,19.85593
5.2,0.1636813,17.75428
5.2,0.168753,15.32696
5.2,0.1726675,13.60714
5.2,0.1753633,12.07989
5.2,0.1781333,10.35484
5.2,0.1809209,9.128435
5.2,0.1837721,7.879884
5.2,0.1879943,7.296079
5.2,0.1967177,6.343299
5.2,0.2043129,5.553532
5.2,0.2169983,4.828635
5.2,0.2322343,4.053951
5.2,0.2465822,3.728025
5.2,0.2598854,3.404248
5.2,0.2739854,2.939128
5.2,0.2844715,2.740695
5.2,0.3089194,2.433826
5.2,0.3207425,2.269509
5.2,0.3697336,1.946539
5.2,0.3867647,1.802507
5.2,0.4076602,1.623054
5.2,0.43622,1.401393
5.2,0.4632876,1.227038
5.2,0.5108292,1.01598
5.2,0.5803671,0.8123724
5.2,0.6162235,0.74706
5.2,0.6642948,0.6495912
5.2,0.7377465,0.5649158
5.2,0.8316618,0.4844742
5.2,0.9305165,0.4213364
5.2,1.04882,0.3716109
5.2,1.155906,0.3370359
5.2,1.312499,0.3014648
5.2,1.468296,0.2696296
5.2,1.642646,0.2394723
5.2,1.865381,0.2097425
5.2,2.07119,0.1902343
5.2,2.369169,0.1725641
5.2,2.792983,0.1449427
5.2,3.341728,0.123469
5.2,3.851736,0.108148
5.2,4.43958,0.09472815
5.2,5.041202,0.0841388
5.2,5.810371,0.07421643
5.2,6.6475,0.06500486
5.2,7.492106,0.05814221
5.2,8.318419,0.05310521
5.2,9.731332,0.04684576
