ID,NEIGHBOURHOOD_NAME,LOCATION_TYPE,SPECIES_BOTANICAL,SPECIES_COMMON,GENUS,SPECIES,CULTIVAR,DIAMETER_BREAST_HEIGHT,CONDITION_PERCENT,PLANTED_DATE,OWNER,"Bears Edible Fruit","Type of Edible Fruit",COUNT,LATITUDE,LONGITUDE,LOCATION,"Point Location"
612762,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,9,0,2016/06/01,Parks,FALSE,,1,53.541462493239464,-113.5335467644567,"(53.541462493239464, -113.5335467644567)","POINT (-113.5335467644567 53.541462493239464)"
612763,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,11,65,2016/06/01,Parks,FALSE,,1,53.54147921190135,-113.53364013597529,"(53.54147921190135, -113.53364013597529)","POINT (-113.53364013597529 53.54147921190135)"
612772,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,9,0,2016/06/01,Parks,FALSE,,1,53.5414194972182,-113.53323911223919,"(53.5414194972182, -113.53323911223919)","POINT (-113.53323911223919 53.5414194972182)"
612780,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,12,65,2016/06/01,Parks,FALSE,,1,53.541698098904625,-113.53245505320996,"(53.541698098904625, -113.53245505320996)","POINT (-113.53245505320996 53.541698098904625)"
612773,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,10,65,2016/06/01,Parks,FALSE,,1,53.54140462291794,-113.53315283823864,"(53.54140462291794, -113.53315283823864)","POINT (-113.53315283823864 53.54140462291794)"
612779,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,11,65,2016/06/01,Parks,FALSE,,1,53.54164237462919,-113.53245566721799,"(53.54164237462919, -113.53245566721799)","POINT (-113.53245566721799 53.54164237462919)"
480045,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,25,65,2010/06/01,Parks,FALSE,,1,53.53734610152774,-113.5096276910034,"(53.53734610152774, -113.5096276910034)","POINT (-113.5096276910034 53.53734610152774)"
479841,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,25,65,2010/06/01,Parks,FALSE,,1,53.53768457372292,-113.51017575498004,"(53.53768457372292, -113.51017575498004)","POINT (-113.51017575498004 53.53768457372292)"
612770,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,19,65,2018/06/01,Parks,FALSE,,1,53.54168486052887,-113.53402939033201,"(53.54168486052887, -113.53402939033201)","POINT (-113.53402939033201 53.54168486052887)"
612771,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,21,65,2018/06/01,Parks,FALSE,,1,53.541730881946606,-113.53402583455279,"(53.541730881946606, -113.53402583455279)","POINT (-113.53402583455279 53.541730881946606)"
479842,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,19,65,2012/06/01,Parks,FALSE,,1,53.53749913092843,-113.51018272241011,"(53.53749913092843, -113.51018272241011)","POINT (-113.51018272241011 53.53749913092843)"
463390,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,23,65,2012/06/01,Parks,FALSE,,1,53.54437219674326,-113.53575733815158,"(53.54437219674326, -113.53575733815158)","POINT (-113.53575733815158 53.54437219674326)"
511511,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,6,0,2015/06/01,Parks,FALSE,,1,53.54595022699571,-113.53576729752392,"(53.54595022699571, -113.53576729752392)","POINT (-113.53576729752392 53.54595022699571)"
511509,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,6,0,2015/06/01,Parks,FALSE,,1,53.5456449550043,-113.53576663670613,"(53.5456449550043, -113.53576663670613)","POINT (-113.53576663670613 53.5456449550043)"
511508,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,9,65,2015/06/01,Parks,FALSE,,1,53.54523255032752,-113.53576554738314,"(53.54523255032752, -113.53576554738314)","POINT (-113.53576554738314 53.54523255032752)"
511510,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,6,0,2015/06/01,Parks,FALSE,,1,53.545852178084616,-113.53577144975779,"(53.545852178084616, -113.53577144975779)","POINT (-113.53577144975779 53.545852178084616)"
511512,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,6,65,2015/06/01,Parks,FALSE,,1,53.54397949262619,-113.53576475047173,"(53.54397949262619, -113.53576475047173)","POINT (-113.53576475047173 53.54397949262619)"
448619,WÎHKWÊNTÔWIN,"Centre Median","Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,12,65,1990/01/01,Parks,FALSE,,1,53.54324475592963,-113.53589639202552,"(53.54324475592963, -113.53589639202552)","POINT (-113.53589639202552 53.54324475592963)"
432114,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,6,65,2015/06/01,Parks,FALSE,,1,53.544038696775445,-113.53576148964386,"(53.544038696775445, -113.53576148964386)","POINT (-113.53576148964386 53.544038696775445)"
432143,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,7,65,2018/06/01,Parks,FALSE,,1,53.54194507197111,-113.52671794401961,"(53.54194507197111, -113.52671794401961)","POINT (-113.52671794401961 53.54194507197111)"
612777,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,9,0,2016/06/01,Parks,FALSE,,1,53.541322344614834,-113.53256855843183,"(53.541322344614834, -113.53256855843183)","POINT (-113.53256855843183 53.541322344614834)"
449890,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,18,65,2009/06/01,Parks,FALSE,,1,53.53591968275609,-113.51201705025693,"(53.53591968275609, -113.51201705025693)","POINT (-113.51201705025693 53.53591968275609)"
449888,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,18,65,2009/06/01,Parks,FALSE,,1,53.535894366109,-113.5122103509683,"(53.535894366109, -113.5122103509683)","POINT (-113.5122103509683 53.535894366109)"
529681,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,19,65,2016/06/01,Parks,FALSE,,1,53.53681529052306,-113.51221097072903,"(53.53681529052306, -113.51221097072903)","POINT (-113.51221097072903 53.53681529052306)"
449891,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,22,65,2009/06/01,Parks,FALSE,,1,53.536050283752836,-113.51201551843873,"(53.536050283752836, -113.51201551843873)","POINT (-113.51201551843873 53.536050283752836)"
529680,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,15,65,2016/06/01,Parks,FALSE,,1,53.53674283429272,-113.5122118035219,"(53.53674283429272, -113.5122118035219)","POINT (-113.5122118035219 53.53674283429272)"
612775,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,9,0,2016/06/01,Parks,FALSE,,1,53.54134671106084,-113.53274838360899,"(53.54134671106084, -113.53274838360899)","POINT (-113.53274838360899 53.54134671106084)"
612776,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,9,0,2016/06/01,Parks,FALSE,,1,53.5413334262274,-113.53265894098362,"(53.5413334262274, -113.53265894098362)","POINT (-113.53265894098362 53.5413334262274)"
512812,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,8,65,2015/06/01,Parks,FALSE,,1,53.54336525817341,-113.5340344423691,"(53.54336525817341, -113.5340344423691)","POINT (-113.5340344423691 53.54336525817341)"
612766,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,9,65,2016/06/01,Parks,FALSE,,1,53.541520592622646,-113.5339048028162,"(53.541520592622646, -113.5339048028162)","POINT (-113.5339048028162 53.541520592622646)"
448620,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,14,65,2009/06/01,Parks,FALSE,,1,53.54429398965932,-113.53403653845446,"(53.54429398965932, -113.53403653845446)","POINT (-113.53403653845446 53.54429398965932)"
619701,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,9,65,2015/01/01,Parks,FALSE,,1,53.543075093547614,-113.5136980288959,"(53.543075093547614, -113.5136980288959)","POINT (-113.5136980288959 53.543075093547614)"
529664,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,16,65,2016/06/01,Parks,FALSE,,1,53.54006607924079,-113.52691535225615,"(53.54006607924079, -113.52691535225615)","POINT (-113.52691535225615 53.54006607924079)"
257173,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,25,65,2007/06/01,Parks,FALSE,,1,53.544560332957985,-113.52759049027524,"(53.544560332957985, -113.52759049027524)","POINT (-113.52759049027524 53.544560332957985)"
247426,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,7,65,2016/06/01,Parks,FALSE,,1,53.545507873862284,-113.52487787014003,"(53.545507873862284, -113.52487787014003)","POINT (-113.52487787014003 53.545507873862284)"
460870,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,24,65,2009/06/01,Parks,FALSE,,1,53.54039372269414,-113.53039397291758,"(53.54039372269414, -113.53039397291758)","POINT (-113.53039397291758 53.54039372269414)"
529663,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,10,65,2016/06/01,Parks,FALSE,,1,53.540247080826894,-113.52691333433187,"(53.540247080826894, -113.52691333433187)","POINT (-113.52691333433187 53.540247080826894)"
435318,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,7,65,2018/06/01,Parks,FALSE,,1,53.54115600103405,-113.526720837518,"(53.54115600103405, -113.526720837518)","POINT (-113.526720837518 53.54115600103405)"
456486,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,17,0,2009/06/01,Parks,FALSE,,1,53.540236402133836,-113.5230714171973,"(53.540236402133836, -113.5230714171973)","POINT (-113.5230714171973 53.540236402133836)"
456485,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,18,65,2009/06/01,Parks,FALSE,,1,53.539916675911776,-113.5230534777946,"(53.539916675911776, -113.5230534777946)","POINT (-113.5230534777946 53.539916675911776)"
434696,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,9,65,2016/06/01,Parks,FALSE,,1,53.542766984973824,-113.52875218520212,"(53.542766984973824, -113.52875218520212)","POINT (-113.52875218520212 53.542766984973824)"
529669,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,12,65,2016/06/01,Parks,FALSE,,1,53.54267834445345,-113.52875129142707,"(53.54267834445345, -113.52875129142707)","POINT (-113.52875129142707 53.54267834445345)"
463119,WÎHKWÊNTÔWIN,Park,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,26,65,2012/06/01,Parks,FALSE,,1,53.536053204114815,-113.51131902034525,"(53.536053204114815, -113.51131902034525)","POINT (-113.51131902034525 53.536053204114815)"
448003,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,65,0,2010/06/01,Parks,FALSE,,1,53.539743234076255,-113.52654192753906,"(53.539743234076255, -113.52654192753906)","POINT (-113.52654192753906 53.539743234076255)"
443375,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,15,65,2012/06/01,Parks,FALSE,,1,53.53667834522857,-113.51405657277215,"(53.53667834522857, -113.51405657277215)","POINT (-113.51405657277215 53.53667834522857)"
458113,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,12,0,1990/01/01,Parks,FALSE,,1,53.54119041600734,-113.51379608961498,"(53.54119041600734, -113.51379608961498)","POINT (-113.51379608961498 53.54119041600734)"
458110,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,25,65,1990/01/01,Parks,FALSE,,1,53.541408636646906,-113.51379607683815,"(53.541408636646906, -113.51379607683815)","POINT (-113.51379607683815 53.541408636646906)"
463118,WÎHKWÊNTÔWIN,Boulevard,"Ulmus americana Brandon","Elm, American",Ulmus,americana,Brandon,20,65,2012/06/01,Parks,FALSE,,1,53.53617097732167,-113.51387759209294,"(53.53617097732167, -113.51387759209294)","POINT (-113.51387759209294 53.53617097732167)"
